GateV	--
9.39999961853027	2.69779718564678E-7
9.30000019073486	2.64990774212492E-7
9.19999980926514	2.61253234157266E-7
9.10000038146973	2.56358504202581E-7
9	2.52566707104052E-7
8.89999961853027	2.48229270027878E-7
8.80000019073486	2.45107997898231E-7
8.69999980926514	2.41571484593806E-7
8.60000038146973	2.38156175669246E-7
8.5	2.3491438128076E-7
8.39999961853027	2.3159292084074E-7
8.30000019073486	2.28400523383243E-7
8.19999980926514	2.22188546672442E-7
8.10000038146973	2.21022091295708E-7
8	2.17374321209718E-7
7.90000009536743	2.13214789823724E-7
7.80000019073486	2.09288799624119E-7
7.69999980926514	2.05334856673289E-7
7.59999990463257	2.02020885353704E-7
7.5	1.99184711391354E-7
7.40000009536743	1.96036964439372E-7
7.30000019073486	1.92298756473974E-7
7.19999980926514	1.89158157581915E-7
7.09999990463257	1.85650108619484E-7
7	1.82044928465075E-7
6.90000009536743	1.77792557565226E-7
6.80000019073486	1.75345832076346E-7
6.69999980926514	1.72131365161476E-7
6.59999990463257	1.69118465009888E-7
6.5	1.656901105207E-7
6.40000009536743	1.61965189704461E-7
6.30000019073486	1.58196982624759E-7
6.19999980926514	1.5451666968147E-7
6.09999990463257	1.50927391473488E-7
6	1.47501836522679E-7
5.90000009536743	1.44032256343962E-7
5.80000019073486	1.40512923962888E-7
5.69999980926514	1.37707729663816E-7
5.59999990463257	1.35025914005382E-7
5.5	1.3248973118607E-7
5.40000009536743	1.2940401461492E-7
5.30000019073486	1.2471183197249E-7
5.19999980926514	1.1986503523076E-7
5.09999990463257	1.1685264666994E-7
5	1.13617986130521E-7
4.90000009536743	1.10060923930178E-7
4.80000019073486	1.06211643924325E-7
4.69999980926514	1.02859701200941E-7
4.59999990463257	9.94603865933641E-8
4.5	9.80493197744181E-8
4.40000009536743	9.17019562507448E-8
4.30000019073486	8.86420963297496E-8
4.19999980926514	8.47117078706106E-8
4.09999990463257	7.96769086264248E-8
4	7.54550697479317E-8
3.90000009536743	7.23360145116203E-8
3.79999995231628	6.95864770250409E-8
3.70000004768372	6.63661623434564E-8
3.59999990463257	6.3205639833086E-8
3.5	6.04127237124885E-8
3.40000009536743	5.72314355906656E-8
3.29999995231628	5.42531211067399E-8
3.20000004768372	5.21676604137156E-8
3.09999990463257	4.93923622002512E-8
3	4.66794638498413E-8
2.90000009536743	4.41904006720506E-8
2.79999995231628	4.15124112862486E-8
2.70000004768372	3.83084071131634E-8
2.59999990463257	3.48775195391227E-8
2.5	3.10131085257126E-8
2.40000009536743	2.92413773195221E-8
2.29999995231628	2.71487508030077E-8
2.20000004768372	2.45977904711481E-8
2.09999990463257	2.21188241056325E-8
2	2.00854604059941E-8
1.89999997615814	1.85605646407794E-8
1.79999995231628	1.68386993237846E-8
1.70000004768372	1.52201451442124E-8
1.60000002384186	1.38164866214652E-8
1.5	1.12634372939624E-8
1.39999997615814	9.21477294468787E-9
1.29999995231628	8.16144840598554E-9
1.20000004768372	6.92335611063299E-9
1.10000002384186	5.69033931085983E-9
1	4.87607421106873E-9
0.899999976158142	3.23788951206438E-9
0.800000011920929	2.72837352710553E-9
0.699999988079071	1.54230017646029E-9
0.600000023841858	1.10950071352534E-9
0.5	6.7136440851101E-10
0.400000005960464	4.70326222412609E-10
0.300000011920929	2.37837194383417E-10
0.200000002980232	1.48935835886377E-10
0.100000001490116	2.89607991451127E-13
0	2.53134617217085E-13
-0.100000001490116	5.97400330159398E-13
-0.200000002980232	4.89617298527617E-13
-0.300000011920929	8.98426298634458E-14
-0.400000005960464	6.10204649396234E-13
-0.5	5.01803405685702E-13
-0.600000023841858	7.81515829698445E-14
-0.699999988079071	5.98491417015679E-13
-0.800000011920929	3.73151840373301E-13
-0.899999976158142	9.88908729752415E-14
-1	6.30673735891457E-13
-1.10000002384186	4.09355681947263E-13
-1.20000004768372	7.09812254546388E-14
-1.29999995231628	5.89521920862923E-13
-1.39999997615814	3.20125463680945E-13
-1.5	5.63450043458529E-14
-1.60000002384186	5.73959608139718E-13
-1.70000004768372	4.65270129281631E-13
-1.79999995231628	1.95377026189492E-14
-1.89999997615814	5.31663797188886E-13
-2	3.20302839156364E-13
-2.09999990463257	3.78904535785346E-14
-2.20000004768372	4.54424882055313E-13
-2.29999995231628	2.45564419493194E-13
-2.40000009536743	1.30899644964523E-13
-2.5	3.25750196131583E-13
-2.59999990463257	1.29706981917208E-13
-2.70000004768372	3.15807357478479E-13
-2.79999995231628	1.52124881159892E-13
-2.90000009536743	1.07986671904828E-13
-3	5.73210749699182E-13
-3.09999990463257	1.85488614485446E-13
-3.20000004768372	5.79237233264834E-13
-3.29999995231628	9.14313655168975E-13
-3.40000009536743	5.82899559783273E-13
-3.5	1.04493421294177E-12
-3.59999990463257	1.49541089147082E-12
-3.70000004768372	1.20509960517545E-12
-3.79999995231628	1.55661171886284E-12
-3.90000009536743	2.24859540709499E-12
-4	2.08745130556021E-12
-4.09999990463257	2.66258738147729E-12
-4.19999980926514	2.22058153115379E-11
-4.30000019073486	1.36854538118625E-11
-4.40000009536743	1.04276857981755E-10
-4.5	1.23284535358259E-10
-4.59999990463257	1.95160707039399E-10
-4.69999980926514	2.65281685507546E-10
-4.80000019073486	1.002899638336E-10
-4.90000009536743	1.34885089209114E-10
-5	1.60748525601662E-10
-5.09999990463257	3.25711818627283E-10
-5.19999980926514	4.04478256443852E-10
-5.30000019073486	4.47976711281939E-10
-5.40000009536743	5.25735122103299E-10
-5.5	1.24477927965216E-9
-5.59999990463257	1.18283853822732E-8
-5.69999980926514	1.1972216107381E-8
-5.80000019073486	1.30173702928005E-8
-5.90000009536743	1.36743976142384E-8
-6	1.41978615531002E-8
-6.09999990463257	1.55078083707849E-8
-6.19999980926514	1.82222841260682E-8
-6.30000019073486	1.98183762734061E-8
-6.40000009536743	2.20615277157776E-8
-6.5	2.27403944563775E-8
